label,text
0,jurong point crazy available bugis n great world la e buffet cine got amore wat
0,ok lar joking wif u oni
1,free entry wkly comp win fa cup final tkts st text fa receive entry question std txt rate t c s apply s
0,u dun say early hor u c say
0,nah don t think goes usf lives
1,freemsg hey darling s week s word d like fun tb ok xxx std chgs send rcv
0,brother like speak treat like aids patent
0,request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
1,winner valued network customer selected receivea prize reward claim claim code kl valid hours
1,mobile months u r entitled update latest colour mobiles camera free mobile update free
0,m gonna home soon don t want talk stuff anymore tonight k ve cried today
1,chances win cash pounds txt csh send cost p day days tsandcs apply reply hl info
1,urgent won week free membership prize jackpot txt word claim t c lccltd pobox ldnw rw
0,ve searching right words thank breather promise wont help granted fulfil promise wonderful blessing times
0,date sunday
1,xxxmobilemovieclub use credit click wap link txt message click xxxmobilemovieclub com n qjkgighjjgcbl
0,oh k m watching
0,eh u remember spell yes did v naughty make v wet
0,fine s way u feel s way gota b
1,england v macedonia dont miss goals team news txt ur national team england try wales scotland txt poboxox w wq
0,seriously spell
0,m going try months ha ha joking
0,pay lar da stock comin
0,aft finish lunch str lor ard smth lor u finish ur lunch
0,ffffffffff alright way meet sooner
0,just forced eat slice m really hungry tho sucks mark getting worried knows m sick turn pizza lol
0,lol convincing
0,did catch bus frying egg did make tea eating mom s left dinner feel love
0,m amp packing car ll let know s room
0,ahhh work vaguely remember does feel like lol
0,wait s clear sure sarcastic s x doesn t want live
0,yeah got v apologetic n fallen actin like spoilt child got caught till won t doing badly cheers
0,k tell
0,fear fainting housework just did quick cuppa
1,thanks subscription ringtone uk mobile charged month confirm replying yes reply charged
0,yup ok home look timings msg xuhui going learn nd lesson
0,oops ll let know roommate s
0,letter b car
0,lor u decide
0,hello s did saturday just texting d decided tomo m trying invite
0,pls ahead watts just wanted sure great weekend abiola
0,did forget tell want need crave love sweet arabian steed mmmmmm yummy
1,rodger burns msg tried reply sms free nokia mobile free camcorder delivery tomorrow
